[I 2025-11-15 12:42:42,460] Trial 62 finished with value: 0.337753059566021 and parameters: {'lr': 0.007084104007748072, 'momentum': 0.822106527797389, 'weight_decay': 0.00034299737232470817, 'step_size': 4, 'gamma': 0.2755356227016948, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:43:47,256] Trial 63 finished with value: 0.34339463591575625 and parameters: {'lr': 0.005334768403707186, 'momentum': 0.813847260278215, 'weight_decay': 0.0004597099279896136, 'step_size': 4, 'gamma': 0.29123361767942224, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:44:52,375] Trial 64 finished with value: 0.3352661511301994 and parameters: {'lr': 0.008800750428765011, 'momentum': 0.8636114805569991, 'weight_decay': 0.0006311044359242405, 'step_size': 4, 'gamma': 0.2824877805021459, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:45:57,451] Trial 65 finished with value: 0.3325118660926819 and parameters: {'lr': 0.00688605881815346, 'momentum': 0.8007149225976918, 'weight_decay': 5.3939667981761375e-05, 'step_size': 4, 'gamma': 0.258381498617558, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:47:04,352] Trial 66 finished with value: 0.3238717651367187 and parameters: {'lr': 0.009763489427373451, 'momentum': 0.8301338510892992, 'weight_decay': 9.263580267182618e-05, 'step_size': 4, 'gamma': 0.29129342356161897, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:48:10,241] Trial 67 finished with value: 0.33517852365970613 and parameters: {'lr': 0.005564677721762231, 'momentum': 0.8752540372709015, 'weight_decay': 6.915828950613131e-05, 'step_size': 4, 'gamma': 0.2755719316272205, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:49:15,424] Trial 68 finished with value: 0.3125877058506012 and parameters: {'lr': 0.003517892672378277, 'momentum': 0.8993129618232306, 'weight_decay': 2.328624440374407e-05, 'step_size': 4, 'gamma': 0.2998996007020091, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:50:17,903] Trial 69 finished with value: 0.33765143632888794 and parameters: {'lr': 0.003403727108467913, 'momentum': 0.8888379137564735, 'weight_decay': 1.7470140620425413e-05, 'step_size': 5, 'gamma': 0.2855630158364418, 'batch_size': 4}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:51:22,964] Trial 70 finished with value: 0.3563272592425346 and parameters: {'lr': 0.0011937834661688842, 'momentum': 0.898546378988966, 'weight_decay': 2.5445173014073474e-05, 'step_size': 3, 'gamma': 0.29961799684670215, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:52:28,075] Trial 71 finished with value: 0.3245499014854431 and parameters: {'lr': 0.00734284817071947, 'momentum': 0.8371654945030779, 'weight_decay': 4.290954244962498e-05, 'step_size': 4, 'gamma': 0.26998441892927255, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:53:33,208] Trial 72 finished with value: 0.3256514883041382 and parameters: {'lr': 0.008795403211117395, 'momentum': 0.8248751971796916, 'weight_decay': 6.190798547277762e-05, 'step_size': 4, 'gamma': 0.28029694442611547, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:54:38,280] Trial 73 finished with value: 0.33712447464466094 and parameters: {'lr': 0.0049766816237015, 'momentum': 0.8169502182672992, 'weight_decay': 2.9380303178991396e-05, 'step_size': 4, 'gamma': 0.29447879365134044, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:55:43,391] Trial 74 finished with value: 0.3275868943333626 and parameters: {'lr': 0.005926072912079943, 'momentum': 0.8796800901224727, 'weight_decay': 0.00011558932397450297, 'step_size': 4, 'gamma': 0.2865107779986837, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:56:48,567] Trial 75 finished with value: 0.33740869849920274 and parameters: {'lr': 0.004070460858013377, 'momentum': 0.8541466429799093, 'weight_decay': 3.5328644461839415e-05, 'step_size': 4, 'gamma': 0.26620900857237706, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:57:49,732] Trial 76 finished with value: 0.3349382304228269 and parameters: {'lr': 0.00996885838356083, 'momentum': 0.8116702942148298, 'weight_decay': 5.177444788798975e-05, 'step_size': 4, 'gamma': 0.21144715036173156, 'batch_size': 8}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:58:55,446] Trial 77 finished with value: 0.3313476902246475 and parameters: {'lr': 0.006230234290741522, 'momentum': 0.8687750411716614, 'weight_decay': 2.4239797760883977e-05, 'step_size': 4, 'gamma': 0.2012767257463818, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 13:00:01,826] Trial 78 finished with value: 0.31387164115905763 and parameters: {'lr': 0.0074235955499924264, 'momentum': 0.8940612606472654, 'weight_decay': 2.024526852883811e-05, 'step_size': 4, 'gamma': 0.2525444345744553, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 13:01:07,338] Trial 79 finished with value: 0.3359766960144043 and parameters: {'lr': 0.008398411584319294, 'momentum': 0.8502244478859892, 'weight_decay': 6.525071035467406e-05, 'step_size': 4, 'gamma': 0.24029047799349199, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 13:02:12,688] Trial 80 finished with value: 0.32553568094968793 and parameters: {'lr': 0.00520700819377723, 'momentum': 0.8340211825079219, 'weight_decay': 4.133923897584334e-05, 'step_size': 4, 'gamma': 0.2791585611171818, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 13:03:17,708] Trial 81 finished with value: 0.3369038745760918 and parameters: {'lr': 0.007242366228643713, 'momentum': 0.8928399595619454, 'weight_decay': 2.2517105855370593e-05, 'step_size': 4, 'gamma': 0.2507517188170228, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 13:04:22,401] Trial 82 finished with value: 0.3323391819000244 and parameters: {'lr': 0.007436520243573041, 'momentum': 0.8974910103870413, 'weight_decay': 1.4902095534474827e-05, 'step_size': 4, 'gamma': 0.223094045962883, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 13:05:26,799] Trial 83 finished with value: 0.3418987926840782 and parameters: {'lr': 0.009070162299240972, 'momentum': 0.8902127527173914, 'weight_decay': 2.8947193455028173e-05, 'step_size': 4, 'gamma': 0.23020239130512296, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 13:06:32,976] Trial 84 finished with value: 0.32256871342659 and parameters: {'lr': 0.004524884277718791, 'momentum': 0.8810608308532639, 'weight_decay': 1.930737015116167e-05, 'step_size': 4, 'gamma': 0.27320081593036344, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 13:07:38,972] Trial 85 finished with value: 0.318354931473732 and parameters: {'lr': 0.005959872338632559, 'momentum': 0.8956233142238185, 'weight_decay': 0.00016146139824506575, 'step_size': 2, 'gamma': 0.263426387164173, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 13:08:45,100] Trial 86 finished with value: 0.31809022784233093 and parameters: {'lr': 0.006494413024180576, 'momentum': 0.899872623490431, 'weight_decay': 1.2776626484438017e-05, 'step_size': 4, 'gamma': 0.2878127174098362, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 13:09:48,718] Trial 87 finished with value: 0.3258959925174713 and parameters: {'lr': 0.007874825033491123, 'momentum': 0.8188136034983335, 'weight_decay': 3.361838893381553e-05, 'step_size': 4, 'gamma': 0.29479442653068133, 'batch_size': 4}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 13:10:53,872] Trial 88 finished with value: 0.3499031111598015 and parameters: {'lr': 0.009184514902245693, 'momentum': 0.8949064617995326, 'weight_decay': 4.958832965963684e-05, 'step_size': 4, 'gamma': 0.25389489379210395, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 13:11:54,940] Trial 89 finished with value: 0.3596826012317951 and parameters: {'lr': 0.0004924964576308909, 'momentum': 0.8760081258321653, 'weight_decay': 2.1178223831052474e-05, 'step_size': 4, 'gamma': 0.2455315407810599, 'batch_size': 8}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 13:12:59,985] Trial 90 finished with value: 0.35653117805719375 and parameters: {'lr': 0.0016285562790447378, 'momentum': 0.8618630224820767, 'weight_decay': 7.578989634014363e-05, 'step_size': 4, 'gamma': 0.2108524055153563, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
